शब्द	मूल	पर्याय	मूल भाषा में	रूप	Regex	Reference
अक्कास	अरबी	चित्रकार				
अक्कासी	अरबी	चित्रांकन				
अक्ल	अरबी	बुद्धी, ज्ञान, चतुराई		अक्कल, अकल	^अ(क्|क्क|क)ल$	
अक्लमंद	अरबी	बुद्धिमान, ज्ञानी, चतुर, मेधावी, 		अकलमंद , अक्लमन्द, अकलमन्द	^अ(क्|क्क|क)लम(ं|न्)द$	
अक्लमंदी	अरबी	बुद्धिमत्ता, चातुर्य		अकलमंदी, अकलमन्दी, अक्लमन्दी	^अ(क्|क्क|क)लम(ं|न्)द(ि|ी)$	
अक्ली	अरबी	तर्कसिद्ध, उचित			^अ(क्|क्क|क)ल(ि|ी)$	
अक्स	अरबी	प्रतिबिंब, चित्र,				
अक्सर	अरबी	प्रायः		अकसर	^अ(क्|क)सर$	
अकबर	अरबी	महान, श्रेष्ठ				
अकसीर	अरबी	अचूक, गुणकारी, लाभप्रद,		अक्सीर, इकसीर		
अकादमी	आङ्ग्लभाषा	विद्यापीठ,  विद्याभ्यासस्थान, 				
अकीक	अरबी	???				
अकीदत	अरबी	सम्मान, श्रद्धा, आस्था, पूजा, निष्ठा, भरोसा, विश्वास				
अकीदतमंद	अरबी	श्रद्धालु, सेवाभावी,				
अकीदा	अरबी	विश्वास, श्रद्धा,				
अकील	अरबी	बुद्धिमान, मेधावी, श्रेष्ठतम,				
अख़्तर	अरबी	तारा, ध्वज,				
अख्तियार	अरबी	अधिकार, स्वामित्व, वश, सत्ता		इख्तियार, ईख्तियार		
अखनी	अरबी	???				
अख़बार	अरबी	समाचारपत्र		अखबारों		
अख़बारी	अरबी	समाचारपत्र संबंधी				
अख़लाक	अरबी	शिष्टाचार, नीति, सदाचार				
अगर	फारसी	यदि		गर		
अगरचे	फारसी	यद्यपि, यदि,				
अगलबगल	फारसी	आसपास, सन्निकट,				
अगवा	अरबी	अपहृत				
अचारी	फारसी					आम का बना हुआ एक प्रकार का अचार।
अजनबी	अरबी	अपरिचित, नवागत				
अजब	अरबी	विचित्र, विलक्षण, अद्भुत, आश्चर्यजनक				
अज़मत	अरबी	गौरव, महत्ता, चमत्कार,				
अज़हर	अरबी	प्रकट, उज्ज्वल, प्रकाशवान, स्पष्ट,				
अज़ाब	अरबी	कष्ट, सङ्कट, यातना, पीड़ा, दण्ड				
अजायब	अरबी	अद्भुत, विचित्र, आश्चर्यजनक,				
अजायबघर	अरबी+हिन्दी 	संग्रहालय, कौतुकालय, 				
अज़ीज़	अरबी	प्रिय, आत्मीय,				
अजीब	अरबी	विचित्र, विस्मयकारी, आश्चर्यजनक		अजीबो		
अजीबोगरीब	अरबी	अद्भुत, आश्चर्यजनक, विचित्र				
अजीम	अरबी	महान, विशाल, वृद्ध				
अजूबा	अरबी	अद्भुत, अनोखा, अनन्य, अद्वितीय		अजूबों, अजूबे, अजुबे, अजूबो	^अज(ु|ू)ब(ा|(ो|े)(ं)?)$	
अजेण्डा	आङ्ग्लभाषा	कार्यसूची,  कार्यावली	agenda	एजेंडा,  एजेंडे, अजेंडा, अजेंडे, 		
अत्तार	अरबी	गंधी				
अतीक	अरबी	पुरातन, बंधनमुक्त, श्रेष्ठ,				
अदद	अरबी	संख्या, अंक, गिनती				
अदना	अरबी	तुच्छ				
अदब	अरबी	विनय, सम्मान, साहित्य,				
अदबी	अरबी	साहित्यिक				
अदम	अरबी	परलोक, अभाव,				
अदमपैरवी	अरबी+फारसी	???				1. पैरवी का अभाव 2. किसी मुकदमें आदि में पैरवी का न होना।
अदमतामील	अरबी	???				
अदममौज़ूदगी	अरबी	अनुपस्थिति,				
अदल	अरबी	न्याय				
अदा	अरबी	देना, चुकाना				
अदाएं	अरबी	हाव-भाव, मोहक चेष्टाएं, ढङ्ग		अदाओं		
अदाकारी	अरबी	अभिनय		अदाकारियाँ, अदाकारियां		
अदालत	अरबी	न्यायालय		अदालतों, अदालतो, अदालतें, अदालते		
अदालती	अरबी	न्यायिक				
अदायगी	अरबी+फारसी	भुगतान				
अदावत	अरबी	शत्रुता, वैर,				
अदावती	अरबी	शत्रु,				
अदीब	अरबी	साहित्यकार, लेखक,				
अंग्रेज	फारसी	आङ्ग्ल		अंगरेज, अँगरेज		
अंग्रेजी	फारसी	आङ्ग्ल, आङ्ग्लभाषा		अंगरेजी अँगरेजी		
अंगुश्त	फारसी	अङ्गुलि,				
अंगुश्ताना	फारसी	अङ्गुलीयक, अँगूठी,				
अंगूर	फारसी	द्राक्षा, मृद्वीका, कापिशायनी, हरहूरा		अन्गूर, अंगुर, अन्गुर		
अंगेज	फारसी	उत्तेजक, प्रेरणादायी, जनक,				
अंजाम	फारसी	परिणाम, फल, समाप्ति		अन्जाम		
अंजुमन	फारसी	सभा, संस्था,				
अंदर	फारसी	अंतर्गत, भीतर, मध्ये,				
अंदरूनी	फारसी	आंतरिक, अंतर्क्षेत्रीय, गोपनीय, भीतरी,				
अंदलीब	अरबी	???				
अंदाज़	फारसी	अनुमान, ढङ्ग, मोहक चेष्टाएँ		अन्दाज		
अंदाज़न	फारसी	प्रायः, लगभग,				
अंदाज़ा	फारसी	अनुमान , उद्भावना, धारणा,		अन्दाजा		
अंदाज़ेबयाँ	फारसी	अभिव्यक्ति कौशल,				
अंदेश	फारसी	चिंता, विचारशील,				
अन्फोर्च्यूनैट्ली	आङ्ग्लभाषा	दुर्भाग्यवश 	unfortunately 	अनफॉर्चूनेटली		
अंबार	फारसी	राशि, भंडार,				
अंसार	अरबी	सहायक				
अनलहक	अरबी	???				
अनहद	अरबी	असीम				
अनार	फारसी	दाड़िम				
अनारदाना	फारसी	???				
अनारी	फारसी	???				1. अनार संबंधी; अनार का 2. अनार के रंग का 3. चमकीला (लाल)।
अनासिर	अरबी	पंचभूत				
अनीस	अरबी	सखा, मित्र,				
अप्रूव	आङ्ग्लभाषा	स्वीकृत 	approve			
अप्कमीङ्ग्	आङ्ग्लभाषा	आगामी	upcoming 	अपकमिंग		
अपील	आङ्ग्लभाषा	याचना, निवेदन, याचिका, प्रार्थना	appeal			
अफ़लातून	अरबी	प्लेटो				
अफ़वाह	अरबी	प्रवाद		अफवाहो, अफवाहों, अफवाहे, अफवाहें, अफवाहबाजों		
अफ़सर	आङ्ग्लभाषा	अधिकारी		अफसरों		
अफ़साना	फारसी	कहानी, कथा, उपन्यास		अफसाने		
अफ़सानानवीस	फारसी	कथाकार, उपन्यासकार, लेखक,				
अफ़सानानिगार	फारसी	कथाकार, उपन्यासकार, लेखक,				
अफसोस	फारसी	पछतावा, ग्लानि, पश्चात्ताप				
अब्बा	फारसी	पिता				
अब्बाजान	फारसी	पिता				
अब्बास	अरबी	सिंह				
अब्बू	फारसी	पिता				
अब्र	फारसी	बादल, मेघ, घटा				
अबरस	फारसी	चितकबरा				
अबरा	फारसी	उपल्ला, उलझन, समस्या,				
अबरी	फारसी	???				1. एक प्रकार का धारीदार चिकना कागज़ 2. एक प्रकार का पीला पत्थर 3. एक प्रकार की लाख की रँगाई।
अबलक	अरबी	चितकबरा				
अबादान	अरबी	संपन्न, समृद्ध,				
अबोर्शन्	आङ्ग्लभाषा	गर्भपात,  	abortion 	अबोर्शन, अबॉर्शन, 		
अमन	अरबी	शान्ति, सुव्यवस्था				
अमनचैन	अरबी	सुख-शांति , सुरक्षा				
अमल	अरबी	कार्य, आचरण, अधिकार, प्रभाव, समय				
अमलदरामद	अरबी	कार्रवाई,				
अमलदार	अरबी+फारसी	शासक, अधिकारी				
अमलदारी	अरबी+फारसी	राज्य, शासन, अधिकार				
अमला	अरबी	कर्मचारीगण				
अमलारा	अरबी	प्रमादी,				
अमली	अरबी	व्यावहारिक,				
अमानत	अरबी	न्यास, उपनिधि, धरोहर				
अमानती	अरबी	???				
अमीन	अरबी	विश्वसनीय				
अमीनी	अरबी	विश्वसनीयता				
अमीर	अरबी	धनवान		अमीरों		
अमीरजादा	अरबी+फारसी	???		अमीरजादी		
अमीरी	अरबी	धनाढ्यता, वैभवशालिता				
अमूमन	अरबी	साधारणतः, प्रायः,				
अय्याश	अरबी	विलासी, लंपट, कामुक, व्यभिचारी,				
अय्याशी	अरबी	विलासिता, कामुकता, लंपटता, व्यभिचार, अश्लीलता				
अयाल	फारसी	केसर, रोम,				
अर्क	अरबी	रस, स्वेद , सत्व,		अरक		
अर्ज़	फारसी	प्रस्तुत				
अर्जी	अरबी	प्रार्थनापत्र, आवेदनपत्र, विनती		अरज़ी		
अर्ज़ीदावा	अरबी	निवेदनपत्र		अरजीदावा		
अरकान	अरबी	स्तंभ, मुख्यमंत्री, वैभव, संपत्ति				
अरस्तू	ग्रीक	ऐरिस्टॉटल				
अरसा	अरबी	समय, काल, अवधि, विलंब		अरसे		
अरेस्ट	आङ्ग्लभाषा	धरपकड	arrest			
अब्सार	अरबी	आँखे, नयन, नेत्र				
अरमान	तुर्की	इच्छा, कामना		अरमानों, अरमानो		
अल्फाज़	अरबी	वाक्य, शब्दों		अल्फाजों, अल्फाजो, अलफाज, अलफाजों, अलफाजो		
अल्ल	अरबी	वंश, कुल				
